traj_id,time,S_N,S_T,q
1,0.0,-0.2,0.15,-20.55897360109439
1,1.0,-0.1964998790526907,0.1469637699995506,-19.90747828973218
1,2.0,-0.19319069545246972,0.14408751383720247,-19.291523117772194
1,3.0,-0.19005838925953045,0.1413597020607478,-18.708491037118087
1,4.0,-0.18709019448058403,0.13876984884236881,-18.15600584851913
1,5.0,-0.18427444672176882,0.13630835741963176,-17.63189639902797
1,6.0,-0.18160077304229555,0.1339666797050662,-17.13423192042518
1,7.0,-0.1790594523287948,0.13173679283191783,-16.661202972443775
1,8.0,-0.1766418802973175,0.12961158398592967,-16.211207995956272
1,9.0,-0.17433989237920272,0.12758429408844082,-15.782727278277891
1,10.0,-0.17214632145710693,0.12564898059210453,-15.374426767409975
1,11.0,-0.17005432668317014,0.12379996322136565,-14.985033141552046
1,12.0,-0.16805771243052903,0.12203209000341068,-14.613393177168927
1,13.0,-0.16615083713099085,0.12034066290904885,-14.258456780483394
1,14.0,-0.16432845449200084,0.11872130690377847,-13.91924743238284
1,15.0,-0.16258560378599804,0.11716987951786693,-13.59484176741917
1,16.0,-0.16091780979924733,0.11568263839295523,-13.284406791301718
1,17.0,-0.15932091121476344,0.11425609902111933,-12.987167936938134
1,18.0,-0.15779103572593037,0.11288701462522067,-12.70240443220584
1,19.0,-0.1563245771059633,0.11157235759010857,-12.429445031774355
1,20.0,-0.1549181834070921,0.11030931012716899,-12.167665820559293
1,21.0,-0.15356870247297033,0.1090952190911422,-11.916480071669993
1,22.0,-0.15227321235162064,0.1079276219718233,-11.675343907325669
1,23.0,-0.15102898675516185,0.10680421832232019,-11.443749869698799
1,24.0,-0.1498334735709691,0.10572285206005749,-11.221222921088057
1,25.0,-0.14868428195081038,0.10468150093699988,-11.007318040753647
1,26.0,-0.1475791694657685,0.10367826601376164,-10.80161783399762
1,27.0,-0.14651603098680144,0.10271136255713853,-10.603730462446006
1,28.0,-0.145492887867198,0.10177911115115473,-10.41328763052428
1,29.0,-0.14450787899204853,0.1008799303599415,-10.229942919449835
1,30.0,-0.14355927537404686,0.10001234938811328,-10.053374504022818
1,31.0,-0.14264542186764262,0.0991749588230338,-9.883274303584896
1,32.0,-0.14176476446652317,0.09836643392162572,-9.719353063038392
1,33.0,-0.14091583473958993,0.0975855215758299,-9.5613374558354
1,34.0,-0.14009724330670098,0.096831034904384,-9.408968869584568
1,35.0,-0.1393076738540866,0.09610184828486149,-9.262002292110001
1,36.0,-0.1385458776829763,0.09539689282210218,-9.120205296759433
1,37.0,-0.13781069233385826,0.09471517242440308,-8.98336150903239
1,38.0,-0.13710104551515293,0.09405576748595308,-8.851271337844146
1,39.0,-0.13641586421934038,0.093417756977594,-8.723735058848382
1,40.0,-0.13575413296218025,0.09280026834844217,-8.600563654799313
1,41.0,-0.13511488219454737,0.09220246769973313,-8.481576658587748
1,42.0,-0.13449723711332495,0.0916236018872715,-8.366611238660854
1,43.0,-0.13390037762748525,0.09106296443882321,-8.255514747305162
1,44.0,-0.13332345425072892,0.09051982290779843,-8.148129065315818
1,45.0,-0.1327656587558335,0.08999347970918593,-8.044303753249759
1,46.0,-0.13222628751535362,0.08948332695604423,-7.9439078413523765
1,47.0,-0.1317046713484599,0.08898878627659565,-7.84681677159285
1,48.0,-0.13120009034416621,0.08850923488251289,-7.752896543278318
1,49.0,-0.13071187857978206,0.0880440960812994,-7.662023204831923
1,50.0,-0.1302395121346726,0.08759291587471094,-7.574099236241577
1,51.0,-0.1297823612309801,0.08715514827525887,-7.489007413751952
1,52.0,-0.12933982021904689,0.08673026761035948,-7.40663500471231
1,53.0,-0.12891144995048753,0.08631789244656227,-7.326900268200438
1,54.0,-0.12849669927010618,0.08591754394959408,-7.249700614896901
