co2_ppm,t_param,measure,value,attractor
882.0,2.15,minimal_critical_shock_magnitude,0.13324218981384972,on
896.0,2.2,minimal_critical_shock_magnitude,0.13293880291032584,on
280.0,0.0,basin_stability,0.836299999999989,on
294.0,0.05,basin_stability,0.835799999999989,on
308.0,0.1,basin_stability,0.8213999999999895,on
322.0,0.15,basin_stability,0.8196999999999895,on
336.0,0.2,basin_stability,0.8151999999999897,on
350.0,0.25,basin_stability,0.80579999999999,on
364.0,0.3,basin_stability,0.7928999999999904,on
378.0,0.35,basin_stability,0.7823999999999908,on
392.0,0.4,basin_stability,0.7694999999999912,on
406.0,0.45,basin_stability,0.7542999999999918,on
420.0,0.5,basin_stability,0.744999999999992,on
434.0,0.55,basin_stability,0.7232999999999927,on
448.0,0.6,basin_stability,0.7099999999999932,on
462.0,0.65,basin_stability,0.6990999999999935,on
476.0,0.7,basin_stability,0.6789999999999942,on
490.0,0.75,basin_stability,0.6602999999999948,on
504.0,0.8,basin_stability,0.6437999999999953,on
518.0,0.85,basin_stability,0.6402999999999954,on
532.0,0.9,basin_stability,0.6130999999999963,on
546.0,0.95,basin_stability,0.6101999999999964,on
560.0,1.0,basin_stability,0.6012999999999967,on
574.0,1.05,basin_stability,0.5762999999999975,on
588.0,1.1,basin_stability,0.5716999999999977,on
602.0,1.15,basin_stability,0.560199999999998,on
616.0,1.2,basin_stability,0.5471999999999985,on
630.0,1.25,basin_stability,0.5429999999999986,on
644.0,1.3,basin_stability,0.5475999999999984,on
658.0,1.35,basin_stability,0.5384999999999988,on
672.0,1.4,basin_stability,0.5389999999999987,on
686.0,1.45,basin_stability,0.5428999999999986,on
700.0,1.5,basin_stability,0.5485999999999984,on
714.0,1.55,basin_stability,0.5417999999999986,on
728.0,1.6,basin_stability,0.5275999999999991,on
742.0,1.65,basin_stability,0.529299999999999,on
756.0,1.7,basin_stability,0.5382999999999988,on
770.0,1.75,basin_stability,0.530999999999999,on
784.0,1.8,basin_stability,0.529199999999999,on
798.0,1.85,basin_stability,0.5107999999999997,on
812.0,1.9,basin_stability,0.5175999999999994,on
826.0,1.95,basin_stability,0.49820000000000003,on
840.0,2.0,basin_stability,0.49160000000000026,on
854.0,2.05,basin_stability,0.4665000000000011,on
868.0,2.1,basin_stability,0.43110000000000226,on
882.0,2.15,basin_stability,0.2713000000000075,on
896.0,2.2,basin_stability,0.1479000000000115,on
280.0,0.0,median_convergence_time,191.0,on
294.0,0.05,median_convergence_time,193.0,on
308.0,0.1,median_convergence_time,196.0,on
322.0,0.15,median_convergence_time,200.0,on
336.0,0.2,median_convergence_time,203.0,on
350.0,0.25,median_convergence_time,206.0,on
364.0,0.3,median_convergence_time,211.0,on
378.0,0.35,median_convergence_time,218.0,on
392.0,0.4,median_convergence_time,225.0,on
406.0,0.45,median_convergence_time,236.0,on
420.0,0.5,median_convergence_time,250.0,on
434.0,0.55,median_convergence_time,267.0,on
448.0,0.6,median_convergence_time,282.0,on
462.0,0.65,median_convergence_time,295.0,on
476.0,0.7,median_convergence_time,308.0,on
490.0,0.75,median_convergence_time,319.0,on
504.0,0.8,median_convergence_time,331.0,on
518.0,0.85,median_convergence_time,341.0,on
532.0,0.9,median_convergence_time,352.0,on
546.0,0.95,median_convergence_time,362.0,on
560.0,1.0,median_convergence_time,372.0,on
574.0,1.05,median_convergence_time,383.0,on
588.0,1.1,median_convergence_time,394.0,on
602.0,1.15,median_convergence_time,405.0,on
616.0,1.2,median_convergence_time,416.0,on
630.0,1.25,median_convergence_time,427.0,on
644.0,1.3,median_convergence_time,438.0,on
658.0,1.35,median_convergence_time,450.0,on
672.0,1.4,median_convergence_time,463.0,on
686.0,1.45,median_convergence_time,475.0,on
700.0,1.5,median_convergence_time,489.0,on
714.0,1.55,median_convergence_time,505.0,on
728.0,1.6,median_convergence_time,524.0,on
742.0,1.65,median_convergence_time,561.0,on
756.0,1.7,median_convergence_time,661.0,on
770.0,1.75,median_convergence_time,702.0,on
784.0,1.8,median_convergence_time,738.0,on
798.0,1.85,median_convergence_time,776.0,on
812.0,1.9,median_convergence_time,815.0,on
826.0,1.95,median_convergence_time,882.0,on
840.0,2.0,median_convergence_time,1128.0,on
854.0,2.05,median_convergence_time,1249.0,on
868.0,2.1,median_convergence_time,1601.0,on
882.0,2.15,median_convergence_time,2317.0,on
896.0,2.2,median_convergence_time,4163.0,on
280.0,0.0,median_convergence_pace,174.11385347422967,on
294.0,0.05,median_convergence_pace,177.15023498379924,on
308.0,0.1,median_convergence_pace,177.7335356079201,on
322.0,0.15,median_convergence_pace,186.0742335443257,on
336.0,0.2,median_convergence_pace,188.06155674006956,on
350.0,0.25,median_convergence_pace,192.76318027384096,on
364.0,0.3,median_convergence_pace,198.45377485361837,on
378.0,0.35,median_convergence_pace,203.71409165466196,on
392.0,0.4,median_convergence_pace,210.7629683723551,on
406.0,0.45,median_convergence_pace,220.77130448810226,on
420.0,0.5,median_convergence_pace,230.66574947697802,on
434.0,0.55,median_convergence_pace,244.54375914437327,on
448.0,0.6,median_convergence_pace,257.4703051660262,on
462.0,0.65,median_convergence_pace,272.96580606359504,on
476.0,0.7,median_convergence_pace,281.28722507063895,on
490.0,0.75,median_convergence_pace,300.3259000969178,on
504.0,0.8,median_convergence_pace,311.36817408774766,on
518.0,0.85,median_convergence_pace,328.1810549218152,on
532.0,0.9,median_convergence_pace,336.45287238545484,on
546.0,0.95,median_convergence_pace,344.0145635741327,on
560.0,1.0,median_convergence_pace,365.15470957899566,on
574.0,1.05,median_convergence_pace,381.13498569847235,on
588.0,1.1,median_convergence_pace,389.92554081922685,on
602.0,1.15,median_convergence_pace,403.8925317571489,on
616.0,1.2,median_convergence_pace,421.79103641020487,on
630.0,1.25,median_convergence_pace,447.65681969790717,on
644.0,1.3,median_convergence_pace,452.22135069972063,on
658.0,1.35,median_convergence_pace,475.290610255102,on
672.0,1.4,median_convergence_pace,491.9626671386444,on
686.0,1.45,median_convergence_pace,511.7505510483714,on
700.0,1.5,median_convergence_pace,530.73265450958,on
714.0,1.55,median_convergence_pace,547.5821010023735,on
728.0,1.6,median_convergence_pace,577.4882456697484,on
742.0,1.65,median_convergence_pace,628.3685253299352,on
756.0,1.7,median_convergence_pace,707.4813597720313,on
770.0,1.75,median_convergence_pace,788.3323571365382,on
784.0,1.8,median_convergence_pace,844.7569570476904,on
798.0,1.85,median_convergence_pace,908.5358851387118,on
812.0,1.9,median_convergence_pace,999.2091802836511,on
826.0,1.95,median_convergence_pace,1183.6958503675255,on
840.0,2.0,median_convergence_pace,1429.3376726050171,on
854.0,2.05,median_convergence_pace,1785.579792876814,on
868.0,2.1,median_convergence_pace,2362.2837893597434,on
882.0,2.15,median_convergence_pace,4114.891428036633,on
896.0,2.2,median_convergence_pace,10458.081093229472,on
280.0,0.0,finite_time_basin_stability,0.8360999999999891,on
294.0,0.05,finite_time_basin_stability,0.835399999999989,on
308.0,0.1,finite_time_basin_stability,0.8208999999999895,on
322.0,0.15,finite_time_basin_stability,0.8188999999999896,on
336.0,0.2,finite_time_basin_stability,0.8145999999999898,on
350.0,0.25,finite_time_basin_stability,0.8047999999999901,on
364.0,0.3,finite_time_basin_stability,0.7908999999999905,on
378.0,0.35,finite_time_basin_stability,0.7801999999999909,on
392.0,0.4,finite_time_basin_stability,0.7681999999999912,on
406.0,0.45,finite_time_basin_stability,0.7524999999999917,on
420.0,0.5,finite_time_basin_stability,0.743799999999992,on
434.0,0.55,finite_time_basin_stability,0.7217999999999928,on
448.0,0.6,finite_time_basin_stability,0.7083999999999931,on
462.0,0.65,finite_time_basin_stability,0.6974999999999936,on
476.0,0.7,finite_time_basin_stability,0.6782999999999941,on
490.0,0.75,finite_time_basin_stability,0.6595999999999947,on
504.0,0.8,finite_time_basin_stability,0.6433999999999953,on
518.0,0.85,finite_time_basin_stability,0.6402999999999954,on
532.0,0.9,finite_time_basin_stability,0.6129999999999963,on
546.0,0.95,finite_time_basin_stability,0.6099999999999964,on
560.0,1.0,finite_time_basin_stability,0.6012999999999967,on
574.0,1.05,finite_time_basin_stability,0.5761999999999975,on
588.0,1.1,finite_time_basin_stability,0.5715999999999977,on
602.0,1.15,finite_time_basin_stability,0.560199999999998,on
616.0,1.2,finite_time_basin_stability,0.5471999999999985,on
630.0,1.25,finite_time_basin_stability,0.5429999999999986,on
644.0,1.3,finite_time_basin_stability,0.5475999999999984,on
658.0,1.35,finite_time_basin_stability,0.5384999999999988,on
672.0,1.4,finite_time_basin_stability,0.5389999999999987,on
686.0,1.45,finite_time_basin_stability,0.5428999999999986,on
700.0,1.5,finite_time_basin_stability,0.5485999999999984,on
714.0,1.55,finite_time_basin_stability,0.5417999999999986,on
728.0,1.6,finite_time_basin_stability,0.5275999999999991,on
742.0,1.65,finite_time_basin_stability,0.529299999999999,on
756.0,1.7,finite_time_basin_stability,0.5382999999999988,on
770.0,1.75,finite_time_basin_stability,0.530999999999999,on
784.0,1.8,finite_time_basin_stability,0.529099999999999,on
798.0,1.85,finite_time_basin_stability,0.5104999999999996,on
812.0,1.9,finite_time_basin_stability,0.4996,on
826.0,1.95,finite_time_basin_stability,0.30470000000000635,on
840.0,2.0,finite_time_basin_stability,0.12210000000001194,on
854.0,2.05,finite_time_basin_stability,0.04030000000000325,on
868.0,2.1,finite_time_basin_stability,0.011300000000000863,on
882.0,2.15,finite_time_basin_stability,0.003500000000000269,on
896.0,2.2,finite_time_basin_stability,0.0008000000000000622,on
