traj_id,time,S_N,S_T,q
1,0.0,-0.10856535362845011,0.34658719257285986,1.3515991009851338
1,1.0,-0.10931363925314237,0.34830474233797026,1.298410878227458
1,2.0,-0.1100782759022953,0.35003452768287424,1.2440604228908942
1,3.0,-0.11085985553038358,0.3517769885448826,1.188505658787658
1,4.0,-0.1116591164972742,0.35353267594747284,1.1316941032189176
1,5.0,-0.11247664763065122,0.3553020231824655,1.0735839022495008
1,6.0,-0.11331316769967396,0.3570855638746388,1.014123965690187
1,7.0,-0.11416953380652882,0.35888392798201213,0.9532533706252986
1,8.0,-0.11504640675736198,0.36069759936641554,0.8909251468828255
1,9.0,-0.11594458917609209,0.3625271650679313,0.8270822438682282
1,10.0,-0.11686510822974391,0.36437337269317244,0.7616516504388084
1,11.0,-0.11780859122935125,0.36623667750848515,0.6945887772587531
1,12.0,-0.1187761862078222,0.36811790930878957,0.6258120220253656
1,13.0,-0.1197687965592195,0.37001771847081744,0.5552571713914151
1,14.0,-0.12078735263778778,0.3719367727524074,0.48285809567703775
1,15.0,-0.12183318051406128,0.37387601898786926,0.40852053764590657
1,16.0,-0.1229070736992871,0.37583602235251806,0.3321880944331521
1,17.0,-0.12401047826427315,0.377817807648086,0.25375797917007886
1,18.0,-0.1251445644062148,0.3798222003660869,0.17314701411406422
1,19.0,-0.1263105816000759,0.381850073312228,0.09026638645016746
1,20.0,-0.127509890074197,0.38390237657941784,0.00501941100151453
1,21.0,-0.1287250168927838,0.3859545265891156,-0.08135193407463978
1,22.0,-0.1299324035656452,0.38797432499479856,-0.1671731087593907
1,23.0,-0.13113197210134572,0.3899616741526932,-0.2524385694131068
1,24.0,-0.13232360988805744,0.39191643414301214,-0.3371403115749353
1,25.0,-0.13350722247281444,0.3938385061245931,-0.4212716215178931
1,26.0,-0.13468270530767473,0.3957277781970003,-0.5048250679630077
1,27.0,-0.13584995948129772,0.3975841550671626,-0.5877936202815417
1,28.0,-0.13700889957549423,0.3994075714798185,-0.670171206939414
1,29.0,-0.13815944026415683,0.4011979586391386,-0.7519517629477219
1,30.0,-0.1393014928908285,0.40295526250387825,-0.8331289865959557
1,31.0,-0.14043497605496585,0.40467944850888204,-0.9136970919247299
1,32.0,-0.14155982603396716,0.4063704933829102,-0.9936515495246523
1,33.0,-0.1426759638626727,0.40802837845715906,-1.0729867465436709
1,34.0,-0.14378331814077674,0.4096531069711321,-1.1516976078403667
1,35.0,-0.1448818380538274,0.41124468869225256,-1.229780521518028
1,36.0,-0.1459714561085429,0.41280314224989884,-1.3072306901469237
1,37.0,-0.14705211361935405,0.4143285097098986,-1.3840439423504756
1,38.0,-0.1481237697922303,0.41582082804452164,-1.4602173784846015
1,39.0,-0.14918636839749363,0.4172801544594602,-1.5357470017377364
1,40.0,-0.15023986481636345,0.41870656668710016,-1.6106296406021499
1,41.0,-0.1512842261605667,0.42010012611652553,-1.684862957375851
1,42.0,-0.1523194077987706,0.4214609302093127,-1.7584437796589065
1,43.0,-0.153345379468062,0.42278908485617317,-1.831369956360188
1,44.0,-0.1543621143375168,0.4240846778350979,-1.9036395803347204
1,45.0,-0.1553695802174232,0.425347847366135,-1.9752503635343284
1,46.0,-0.15636776033278432,0.42657871490711347,-2.0462011135904246
1,47.0,-0.15735663297447386,0.42777740405166825,-2.116490287415975
1,48.0,-0.158336179771667,0.4289440889753512,-2.1861165792107746
1,49.0,-0.15930639346194286,0.4300788951569397,-2.2550794727611643
1,50.0,-0.16026726000706482,0.4311819945523096,-2.3233779702277753
1,51.0,-0.16121877465474532,0.432253580994862,-2.3910117338174954
1,52.0,-0.16216093520877936,0.43329379319302064,-2.4579806074238366
1,53.0,-0.16309373927939233,0.43430284914987527,-2.5242844211813633
1,54.0,-0.1640171926223241,0.43528094257623046,-2.5899235842086834
1,55.0,-0.16493129818225488,0.4362282460609827,-2.654898305813987
1,56.0,-0.1658360662669185,0.4371450151669078,-2.719209318672097
1,57.0,-0.16673150832179257,0.43803142056012745,-2.7828574363288023
1,58.0,-0.16761763638259777,0.4388876997762907,-2.845843514284421
1,59.0,-0.1684944711887565,0.4397141103522067,-2.908169026699327
1,60.0,-0.16936202730588734,0.4405108296471,-2.9698350088992624
1,61.0,-0.17022032975399504,0.44127814888580325,-3.030843239308855
1,62.0,-0.17106940323539938,0.44201629214893967,-3.0911954737716543
1,63.0,-0.17190927029593026,0.44272549227920016,-3.150893314847677
1,64.0,-0.17273996681863354,0.4434060593159358,-3.209939313107688
1,65.0,-0.1735615165630084,0.4440581837346316,-3.2683351573794406
1,66.0,-0.17437395722378893,0.4446821796420192,-3.3260835270087004
1,67.0,-0.1751773260441495,0.44527831333184875,-3.3831870692443053
1,68.0,-0.17597165355435695,0.4458468175848761,-3.4396479541809075
1,69.0,-0.17675698949557453,0.446388039718451,-3.4954697174257485
1,70.0,-0.1775333648225291,0.44690218150520283,-3.550654559244146
1,71.0,-0.1783008289003734,0.4473895794652225,-3.6052059885164724
1,72.0,-0.17905942861312915,0.4478505200479511,-3.6591273377640343
1,73.0,-0.17980920203668743,0.44828524766806693,-3.712421313425272
1,74.0,-0.1805502107108834,0.4486941329913274,-3.7650922897582935
1,75.0,-0.18128249028498258,0.4490773814488814,-3.8171428007167276
1,76.0,-0.1820061026257778,0.4494353599994809,-3.8685772437988692
1,77.0,-0.18272109841421175,0.4497683443091718,-3.9193992214115836
1,78.0,-0.1834275259455543,0.45007661160625956,-3.96961216638785
1,79.0,-0.18412545442955308,0.45036053448223934,-4.019220998163979
1,80.0,-0.18481492306448946,0.45062032205537994,-4.068228502958032
1,81.0,-0.18549600770619973,0.45085637893331587,-4.116640072611018
1,82.0,-0.18616875343806483,0.4510689291468585,-4.164458911654509
1,83.0,-0.18683322702848185,0.451258324097734,-4.211689765993356
1,84.0,-0.18748949503670673,0.4514248904838832,-4.258337366666639
1,85.0,-0.18813760584436018,0.45156887322130157,-4.304405152645161
1,86.0,-0.18877764257637705,0.45169067800598206,-4.3498990324582465
1,87.0,-0.18940964698485727,0.45179050464966664,-4.394821973849648
1,88.0,-0.19003370579853887,0.4518687727714521,-4.439180141507406
1,89.0,-0.19064986689720978,0.4519257002644723,-4.482976938731995
1,90.0,-0.19125820691538364,0.4519616540932177,-4.5262178127129
1,91.0,-0.19185879448549298,0.4519769435206756,-4.568907641850809
1,92.0,-0.19245168627851367,0.4519718333294838,-4.611050454324791
1,93.0,-0.19303696952683158,0.4519467148504816,-4.652652450622225
1,94.0,-0.19361468901955312,0.4519017898493905,-4.693716814357614
1,95.0,-0.1941849411463262,0.451837487323146,-4.734250396917505
1,96.0,-0.19474776807757443,0.45175398957210094,-4.774256195780155
1,97.0,-0.1953032663485996,0.4516517225456644,-4.813741072685204
1,98.0,-0.19585148351783463,0.45153088497355903,-4.852708408091181
1,99.0,-0.19639250749278356,0.4513918613417977,-4.891164450472941
1,100.0,-0.1969264011660028,0.45123491139745064,-4.929113670240163
1,101.0,-0.19745323567819562,0.4510603420594283,-4.966561124081692
1,102.0,-0.19797309130523205,0.4508684836152378,-5.003512518015013
1,103.0,-0.19848602418063946,0.45065957357061814,-5.0399718420172945
1,104.0,-0.19899212743636374,0.4504339926306414,-5.0759457159172765
1,105.0,-0.19949144736469607,0.45019193238934513,-5.1114374301759975
1,106.0,-0.19998408510280144,0.4499338027295356,-5.1464541736340355
1,107.0,-0.200470081082688,0.4496597670488661,-5.18099882020288
1,108.0,-0.20094954078048713,0.44937024877144427,-5.215078867137307
1,109.0,-0.20142250160851927,0.4490653955440581,-5.248696973709078
1,110.0,-0.20188907083339597,0.44874563371979304,-5.2818607644404905
1,111.0,-0.20234928463652158,0.448411103007313,-5.314572811109661
1,112.0,-0.20280325053488202,0.4480622264071191,-5.346840756035522
1,113.0,-0.20325100434603555,0.4476991396159615,-5.3786671451339725
1,114.0,-0.2036926531545954,0.4473222595301637,-5.410059589990846
1,115.0,-0.20412823253103643,0.44693171872444426,-5.441020618959328
1,116.0,-0.2045578491110221,0.446527927870321,-5.471557811713853
1,117.0,-0.2049815377948386,0.446111015217071,-5.501673648970524
1,118.0,-0.2053994051889127,0.4456813867329918,-5.531375708325632
1,119.0,-0.20581148480898195,0.44523916407409,-5.560666372081409
1,120.0,-0.20621788382126044,0.44478475060025663,-5.589553257623888
1,121.0,-0.20661863363583455,0.44431825914539635,-5.618038597585392
1,122.0,-0.20701384243477677,0.4438400919894719,-5.646130081559277
1,123.0,-0.20740353911378534,0.443350352124034,-5.673829763454889
1,124.0,-0.20778783285811042,0.4428494405110757,-5.701145404171561
1,125.0,-0.20816675030414583,0.44233745171252287,-5.728078897027032
1,126.0,-0.208540400791608,0.4418147821177172,-5.754638013900119
1,127.0,-0.20890880999849293,0.44128152297388085,-5.780824579985541
1,128.0,-0.20927208533738986,0.44073805853673526,-5.806646230181705
