S_N,S_T,basin_label
-0.19656205649994726,-0.1186188565583948,2
-0.19656205649994726,-0.11183919554144564,2
-0.19656205649994726,-0.10505953452449648,2
-0.19656205649994726,-0.09827987350754734,2
-0.19656205649994726,-0.09150021249059818,2
-0.19656205649994726,-0.08472055147364903,2
-0.19656205649994726,-0.07794089045669987,2
-0.19656205649994726,-0.07116122943975073,2
-0.19656205649994726,-0.06438156842280157,2
-0.19656205649994726,-0.057601907405852415,2
-0.19656205649994726,-0.050822246388903265,2
-0.19656205649994726,-0.04404258537195411,2
-0.19656205649994726,-0.03726292435500496,2
-0.19656205649994726,-0.030483263338055802,2
-0.19656205649994726,-0.02370360232110665,2
-0.19656205649994726,-0.016923941304157496,2
-0.19656205649994726,-0.010144280287208342,2
-0.19656205649994726,-0.0033646192702591897,2
-0.19656205649994726,0.0034150417466899635,2
-0.19656205649994726,0.010194702763639117,2
-0.19656205649994726,0.01697436378058827,2
-0.19656205649994726,0.023754024797537424,2
-0.19656205649994726,0.030533685814486577,2
-0.19656205649994726,0.03731334683143573,2
-0.19656205649994726,0.04409300784838489,2
-0.19656205649994726,0.050872668865334036,2
-0.19656205649994726,0.05765232988228319,2
-0.19656205649994726,0.06443199089923235,2
-0.19656205649994726,0.07121165191618149,2
-0.19656205649994726,0.07799131293313065,2
-0.19656205649994726,0.0847709739500798,2
-0.19656205649994726,0.09155063496702896,2
-0.19656205649994726,0.0983302959839781,2
-0.19656205649994726,0.10510995700092726,2
-0.19656205649994726,0.11188961801787642,2
-0.19656205649994726,0.11866927903482558,2
-0.19656205649994726,0.12544894005177473,2
-0.19656205649994726,0.1322286010687239,2
-0.19656205649994726,0.13900826208567302,2
-0.19656205649994726,0.14578792310262217,2
-0.19656205649994726,0.15256758411957133,2
-0.19656205649994726,0.1593472451365205,2
-0.19656205649994726,0.16612690615346964,2
-0.19656205649994726,0.1729065671704188,2
-0.19656205649994726,0.17968622818736796,2
-0.19656205649994726,0.18646588920431711,2
-0.19656205649994726,0.19324555022126627,2
-0.19656205649994726,0.2000252112382154,2
-0.19656205649994726,0.20680487225516456,2
-0.19656205649994726,0.2135845332721137,2
-0.19656205649994726,0.22036419428906287,2
-0.19656205649994726,0.22714385530601203,2
-0.19656205649994726,0.23392351632296118,2
-0.19656205649994726,0.24070317733991034,2
-0.19656205649994726,0.2474828383568595,2
-0.19656205649994726,0.2542624993738086,2
-0.19656205649994726,0.2610421603907578,2
-0.19656205649994726,0.26782182140770694,2
-0.19656205649994726,0.2746014824246561,2
-0.19656205649994726,0.28138114344160525,2
-0.1897823954829981,-0.1186188565583948,2
-0.1897823954829981,-0.11183919554144564,2
-0.1897823954829981,-0.10505953452449648,2
-0.1897823954829981,-0.09827987350754734,2
-0.1897823954829981,-0.09150021249059818,2
-0.1897823954829981,-0.08472055147364903,2
-0.1897823954829981,-0.07794089045669987,2
-0.1897823954829981,-0.07116122943975073,2
-0.1897823954829981,-0.06438156842280157,2
-0.1897823954829981,-0.057601907405852415,2
-0.1897823954829981,-0.050822246388903265,2
-0.1897823954829981,-0.04404258537195411,2
-0.1897823954829981,-0.03726292435500496,2
-0.1897823954829981,-0.030483263338055802,2
-0.1897823954829981,-0.02370360232110665,2
-0.1897823954829981,-0.016923941304157496,2
-0.1897823954829981,-0.010144280287208342,2
-0.1897823954829981,-0.0033646192702591897,2
-0.1897823954829981,0.0034150417466899635,2
-0.1897823954829981,0.010194702763639117,2
-0.1897823954829981,0.01697436378058827,2
-0.1897823954829981,0.023754024797537424,2
-0.1897823954829981,0.030533685814486577,2
-0.1897823954829981,0.03731334683143573,2
-0.1897823954829981,0.04409300784838489,2
-0.1897823954829981,0.050872668865334036,2
-0.1897823954829981,0.05765232988228319,2
-0.1897823954829981,0.06443199089923235,2
-0.1897823954829981,0.07121165191618149,2
-0.1897823954829981,0.07799131293313065,2
-0.1897823954829981,0.0847709739500798,2
-0.1897823954829981,0.09155063496702896,2
-0.1897823954829981,0.0983302959839781,2
-0.1897823954829981,0.10510995700092726,2
-0.1897823954829981,0.11188961801787642,2
-0.1897823954829981,0.11866927903482558,2
-0.1897823954829981,0.12544894005177473,2
-0.1897823954829981,0.1322286010687239,2
-0.1897823954829981,0.13900826208567302,2
-0.1897823954829981,0.14578792310262217,2
-0.1897823954829981,0.15256758411957133,2
-0.1897823954829981,0.1593472451365205,2
-0.1897823954829981,0.16612690615346964,2
-0.1897823954829981,0.1729065671704188,2
-0.1897823954829981,0.17968622818736796,2
-0.1897823954829981,0.18646588920431711,2
-0.1897823954829981,0.19324555022126627,2
-0.1897823954829981,0.2000252112382154,2
-0.1897823954829981,0.20680487225516456,2
-0.1897823954829981,0.2135845332721137,2
-0.1897823954829981,0.22036419428906287,2
-0.1897823954829981,0.22714385530601203,2
-0.1897823954829981,0.23392351632296118,2
-0.1897823954829981,0.24070317733991034,2
-0.1897823954829981,0.2474828383568595,2
-0.1897823954829981,0.2542624993738086,2
-0.1897823954829981,0.2610421603907578,2
-0.1897823954829981,0.26782182140770694,2
-0.1897823954829981,0.2746014824246561,2
-0.1897823954829981,0.28138114344160525,2
-0.18300273446604895,-0.1186188565583948,2
-0.18300273446604895,-0.11183919554144564,2
-0.18300273446604895,-0.10505953452449648,2
-0.18300273446604895,-0.09827987350754734,2
-0.18300273446604895,-0.09150021249059818,2
-0.18300273446604895,-0.08472055147364903,2
-0.18300273446604895,-0.07794089045669987,2
-0.18300273446604895,-0.07116122943975073,2
-0.18300273446604895,-0.06438156842280157,2
-0.18300273446604895,-0.057601907405852415,2
-0.18300273446604895,-0.050822246388903265,2
-0.18300273446604895,-0.04404258537195411,2
-0.18300273446604895,-0.03726292435500496,2
-0.18300273446604895,-0.030483263338055802,2
-0.18300273446604895,-0.02370360232110665,2
-0.18300273446604895,-0.016923941304157496,2
-0.18300273446604895,-0.010144280287208342,2
-0.18300273446604895,-0.0033646192702591897,2
-0.18300273446604895,0.0034150417466899635,2
-0.18300273446604895,0.010194702763639117,2
-0.18300273446604895,0.01697436378058827,2
-0.18300273446604895,0.023754024797537424,2
-0.18300273446604895,0.030533685814486577,2
-0.18300273446604895,0.03731334683143573,2
-0.18300273446604895,0.04409300784838489,2
-0.18300273446604895,0.050872668865334036,2
-0.18300273446604895,0.05765232988228319,2
-0.18300273446604895,0.06443199089923235,2
-0.18300273446604895,0.07121165191618149,2
-0.18300273446604895,0.07799131293313065,2
-0.18300273446604895,0.0847709739500798,2
-0.18300273446604895,0.09155063496702896,2
-0.18300273446604895,0.0983302959839781,2
-0.18300273446604895,0.10510995700092726,2
-0.18300273446604895,0.11188961801787642,2
-0.18300273446604895,0.11866927903482558,2
-0.18300273446604895,0.12544894005177473,2
-0.18300273446604895,0.1322286010687239,2
