S_N,S_T,basin_label
-0.20828939980788314,-0.14298675297523483,1
-0.20828939980788314,-0.13620709195828568,1
-0.20828939980788314,-0.12942743094133652,1
-0.20828939980788314,-0.12264776992438738,1
-0.20828939980788314,-0.11586810890743822,1
-0.20828939980788314,-0.10908844789048906,1
-0.20828939980788314,-0.10230878687353992,1
-0.20828939980788314,-0.09552912585659076,1
-0.20828939980788314,-0.0887494648396416,1
-0.20828939980788314,-0.08196980382269245,1
-0.20828939980788314,-0.0751901428057433,1
-0.20828939980788314,-0.06841048178879415,1
-0.20828939980788314,-0.061630820771845,1
-0.20828939980788314,-0.054851159754895844,1
-0.20828939980788314,-0.048071498737946694,1
-0.20828939980788314,-0.04129183772099754,1
-0.20828939980788314,-0.03451217670404839,1
-0.20828939980788314,-0.02773251568709923,1
-0.20828939980788314,-0.02095285467015008,1
-0.20828939980788314,-0.014173193653200926,1
-0.20828939980788314,-0.007393532636251774,1
-0.20828939980788314,-0.0006138716193026208,1
-0.20828939980788314,0.0061657893976465325,1
-0.20828939980788314,0.012945450414595685,1
-0.20828939980788314,0.019725111431544838,1
-0.20828939980788314,0.02650477244849399,1
-0.20828939980788314,0.033284433465443145,1
-0.20828939980788314,0.040064094482392294,1
-0.20828939980788314,0.04684375549934145,1
-0.20828939980788314,0.0536234165162906,1
-0.20828939980788314,0.06040307753323976,1
-0.20828939980788314,0.06718273855018891,1
-0.20828939980788314,0.07396239956713806,1
-0.20828939980788314,0.08074206058408721,1
-0.20828939980788314,0.08752172160103637,1
-0.20828939980788314,0.09430138261798553,1
-0.20828939980788314,0.10108104363493467,1
-0.20828939980788314,0.10786070465188383,1
-0.20828939980788314,0.11464036566883298,1
-0.20828939980788314,0.12142002668578213,1
-0.20828939980788314,0.1281996877027313,1
-0.20828939980788314,0.13497934871968043,1
-0.20828939980788314,0.14175900973662958,1
-0.20828939980788314,0.14853867075357874,1
-0.20828939980788314,0.1553183317705279,1
-0.20828939980788314,0.16209799278747705,1
-0.20828939980788314,0.1688776538044262,1
-0.20828939980788314,0.17565731482137537,1
-0.20828939980788314,0.1824369758383245,1
-0.20828939980788314,0.18921663685527365,1
-0.20828939980788314,0.1959962978722228,1
-0.20828939980788314,0.20277595888917196,1
-0.20828939980788314,0.20955561990612112,1
-0.20828939980788314,0.21633528092307028,1
-0.20828939980788314,0.22311494194001943,1
-0.20828939980788314,0.2298946029569686,1
-0.20828939980788314,0.23667426397391772,1
-0.20828939980788314,0.24345392499086688,1
-0.20828939980788314,0.25023358600781603,1
-0.20828939980788314,0.2570132470247652,1
-0.20150973879093398,-0.14298675297523483,1
-0.20150973879093398,-0.13620709195828568,1
-0.20150973879093398,-0.12942743094133652,1
-0.20150973879093398,-0.12264776992438738,1
-0.20150973879093398,-0.11586810890743822,1
-0.20150973879093398,-0.10908844789048906,1
-0.20150973879093398,-0.10230878687353992,1
-0.20150973879093398,-0.09552912585659076,1
-0.20150973879093398,-0.0887494648396416,1
-0.20150973879093398,-0.08196980382269245,1
-0.20150973879093398,-0.0751901428057433,1
-0.20150973879093398,-0.06841048178879415,1
-0.20150973879093398,-0.061630820771845,1
-0.20150973879093398,-0.054851159754895844,1
